measurement,family,n16_c2_s101,n16_c2_s102,n16_c2_s103,n24_c4_s201,n24_c4_s202,n24_c4_s203,n32_c4_s301,n32_c4_s302,n32_c4_s303,n48_c4_s401,n48_c4_s402,n48_c4_s403,n32_c6_s501,n16_c4_s601,n32_c4_spur_s301
FFT Bispectrum Profile:max_divergence,n16_c2,0.854996,0.854996,0.854996,2.336031,2.336031,2.336031,2.821514,2.821514,2.821514,6.194487,6.194487,6.194487,3.429513,1.466315,2.821514
FFT Bispectrum Profile:probe_8,n16_c2,0.728813,0.728813,0.728813,2.267456,2.267456,2.267456,2.821514,2.821514,2.821514,4.016292,4.016292,4.016292,3.235019,1.434789,2.821514
FFT Bispectrum Profile:probe_3,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFT Bispectrum Profile:reflection_sensitivity,n16_c2,0.854996,0.854996,0.854996,2.336031,2.336031,2.336031,2.769859,2.769859,2.769859,6.194487,6.194487,6.194487,3.429513,1.466315,2.769859
FFT Bispectrum Profile:probe_5,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFT Bispectrum Profile:n_probes,n16_c2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
FFT Bispectrum Profile:probe_2,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFT Bispectrum Profile:shift_invariance,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FFT Bispectrum Profile:data_profile_mean,n16_c2,0.289011,0.289011,0.289011,0.858607,0.858607,0.858607,1.051393,1.051393,1.051393,1.778188,1.778188,1.778188,1.237247,0.541745,1.051393
FFT Bispectrum Profile:probe_4,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scalable WDW:dimension,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
Rigorous Metrics:mdl_bits,n16_c2,0.029413,0.029413,0.029413,0.063061,0.063061,0.063061,0.079697,0.079697,0.079697,0.113068,0.113068,0.113068,0.099321,0.046326,0.079697
Rigorous Metrics:non_vacuous,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rigorous Metrics:n_params,n16_c2,244.0,244.0,244.0,364.0,364.0,364.0,484.0,484.0,484.0,724.0,724.0,724.0,484.0,244.0,484.0
Rigorous Metrics:pac_bayes_bound,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rigorous Metrics:generalization_ratio,n16_c2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Real World Applications:dimension,n16_c2,16.0,16.0,16.0,24.0,24.0,24.0,32.0,32.0,32.0,48.0,48.0,48.0,32.0,16.0,32.0
